team,total_matches,wins,win_percentage,toss_wins,toss_win_percentage,toss_and_match_wins,toss_win_match_win_percentage
Royal Challengers Bengaluru,267,134,50.19,127,47.57,67,52.76
Punjab Kings,262,122,46.56,120,45.8,53,44.17
Delhi Capitals,263,121,46.01,137,52.09,66,48.18
Mumbai Indians,277,153,55.23,151,54.51,83,54.97
Kolkata Knight Riders,263,136,51.71,128,48.67,71,55.47
Rajasthan Royals,233,117,50.21,125,53.65,63,50.4
Sunrisers Hyderabad,270,123,45.56,137,50.74,60,43.8
Chennai Super Kings,251,142,56.57,127,50.6,78,61.42
Kochi Tuskers Kerala,14,6,42.86,8,57.14,4,50.0
Pune Warriors,45,12,26.67,20,44.44,3,15.0
Gujarat Lions,30,13,43.33,15,50.0,10,66.67
Rising Pune Supergiant,30,15,50.0,13,43.33,8,61.54
Lucknow Super Giants,57,30,52.63,24,42.11,13,54.17
Gujarat Titans,60,37,61.67,29,48.33,19,65.52
