venue,city,matches_played,bat_first_wins,field_first_wins,bat_first_win_percentage,field_first_win_percentage
M Chinnaswamy Stadium,Bangalore,63,26,37,41.27,58.73
"Punjab Cricket Association Stadium, Mohali",Chandigarh,35,15,20,42.86,57.14
Feroz Shah Kotla,Delhi,59,27,32,45.76,54.24
Wankhede Stadium,Mumbai,73,36,37,49.32,50.68
Eden Gardens,Kolkata,77,30,47,38.96,61.04
Sawai Mansingh Stadium,Jaipur,47,15,32,31.91,68.09
"Rajiv Gandhi International Stadium, Uppal",Hyderabad,49,19,30,38.78,61.22
"MA Chidambaram Stadium, Chepauk",Chennai,48,31,17,64.58,35.42
Dr DY Patil Sports Academy,Mumbai,17,7,10,41.18,58.82
Newlands,Cape Town,7,5,2,71.43,28.57
St George's Park,Port Elizabeth,7,3,4,42.86,57.14
Kingsmead,Durban,15,8,7,53.33,46.67
SuperSport Park,Centurion,12,4,8,33.33,66.67
New Wanderers Stadium,Johannesburg,8,3,5,37.5,62.5
Brabourne Stadium,Mumbai,10,6,4,60.0,40.0
"Sardar Patel Stadium, Motera",Ahmedabad,12,6,6,50.0,50.0
Barabati Stadium,Cuttack,7,4,3,57.14,42.86
"Brabourne Stadium, Mumbai",Mumbai,17,8,9,47.06,52.94
Himachal Pradesh Cricket Association Stadium,Dharamsala,9,5,4,55.56,44.44
Nehru Stadium,Kochi,5,3,2,60.0,40.0
Holkar Cricket Stadium,Indore,9,1,8,11.11,88.89
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,13,6,7,46.15,53.85
Subrata Roy Sahara Stadium,Pune,16,10,6,62.5,37.5
Maharashtra Cricket Association Stadium,Pune,22,8,14,36.36,63.64
Shaheed Veer Narayan Singh International Stadium,Raipur,6,2,4,33.33,66.67
JSCA International Stadium Complex,Ranchi,7,2,5,28.57,71.43
Sheikh Zayed Stadium,Abu Dhabi,29,13,16,44.83,55.17
Sharjah Cricket Stadium,Unknown,28,10,18,35.71,64.29
Dubai International Cricket Stadium,Unknown,46,23,23,50.0,50.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",Chandigarh,11,5,6,45.45,54.55
Saurashtra Cricket Association Stadium,Rajkot,10,3,7,30.0,70.0
M.Chinnaswamy Stadium,Bengaluru,14,7,7,50.0,50.0
Punjab Cricket Association IS Bindra Stadium,Chandigarh,10,4,6,40.0,60.0
Rajiv Gandhi International Stadium,Hyderabad,15,8,7,53.33,46.67
MA Chidambaram Stadium,Chennai,9,4,5,44.44,55.56
Arun Jaitley Stadium,Delhi,14,7,7,50.0,50.0
"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,34,16,18,47.06,52.94
"Wankhede Stadium, Mumbai",Mumbai,52,21,31,40.38,59.62
"Narendra Modi Stadium, Ahmedabad",Ahmedabad,33,16,17,48.48,51.52
"Arun Jaitley Stadium, Delhi",Delhi,23,12,11,52.17,47.83
"Zayed Cricket Stadium, Abu Dhabi",Abu Dhabi,8,3,5,37.5,62.5
"Dr DY Patil Sports Academy, Mumbai",Mumbai,20,10,10,50.0,50.0
"Maharashtra Cricket Association Stadium, Pune",Pune,13,10,3,76.92,23.08
"Eden Gardens, Kolkata",Kolkata,22,12,10,54.55,45.45
"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,5,3,2,60.0,40.0
"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,21,9,12,42.86,57.14
"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,18,8,10,44.44,55.56
"M Chinnaswamy Stadium, Bengaluru",Bengaluru,19,10,9,52.63,47.37
"Barsapara Cricket Stadium, Guwahati",Guwahati,5,3,2,60.0,40.0
"Sawai Mansingh Stadium, Jaipur",Jaipur,17,8,9,47.06,52.94
"Himachal Pradesh Cricket Association Stadium, Dharamsala",Dharamsala,5,4,1,80.0,20.0
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mohali,10,5,5,50.0,50.0
